[GIN] 2024/11/18 - 12:29:07 | 204 |      14.691µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_bogor___kabupaten_karawang"
[GIN] 2024/11/18 - 12:29:08 | 200 |   57.854668ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bogor___kabupaten_karawang"
[GIN] 2024/11/18 - 12:29:08 | 200 |    2.948438ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:10 | 204 |      15.104µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_indramayu___kabupaten_subang"
[GIN] 2024/11/18 - 12:29:10 | 200 |   66.792984ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_indramayu___kabupaten_subang"
[GIN] 2024/11/18 - 12:29:10 | 200 |     793.818µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:11 | 204 |      14.855µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_bekasi___kota_jakarta_utara"
[GIN] 2024/11/18 - 12:29:11 | 200 |   48.772514ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bekasi___kota_jakarta_utara"
[GIN] 2024/11/18 - 12:29:11 | 404 |    1.345987ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bekasi___kota_jakarta_utara"
[GIN] 2024/11/18 - 12:29:11 | 200 |    1.625045ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:11 | 404 |    4.497729ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bekasi___kota_jakarta_utara"
[GIN] 2024/11/18 - 12:29:12 | 404 |     8.75735ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bekasi___kota_jakarta_utara"
[GIN] 2024/11/18 - 12:29:12 | 204 |       47.81µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_karawang___kabupaten_purwakarta"
[GIN] 2024/11/18 - 12:29:12 | 200 |   73.055972ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_karawang___kabupaten_purwakarta"
[GIN] 2024/11/18 - 12:29:12 | 200 |     823.615µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:12 | 404 |    3.870345ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_karawang___kabupaten_purwakarta"
